AERONET Version 3
Laegeren
Version 3: AOD Level 1.5
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
Contact: PI=Alexander_Damm-Reiser; PI Email=alexander.damm@geo.uzh.ch
Daily Averages,UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
01:09:2024,12:00:00,245,0.033140,0.068878,0.092356,-999.,-999.,0.143860,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.238701,-999.,-999.,0.284269,-999.,-999.,0.342322,0.375757,2.531432,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.660620,1.312499,1.609725,1.710321,1.096822,-999.,105,105,105,0,0,105,0,0,0,0,0,0,0,0,105,0,0,105,0,0,105,105,105,0,0,0,0,0,0,0,105,105,105,105,105,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
02:09:2024,12:00:00,246,0.028629,0.057967,0.075153,-999.,-999.,0.113732,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.184647,-999.,-999.,0.217552,-999.,-999.,0.259399,0.282196,2.566941,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.573938,1.238980,1.536663,1.620547,1.023265,-999.,40,40,40,0,0,40,0,0,0,0,0,0,0,0,40,0,0,40,0,0,40,40,40,0,0,0,0,0,0,0,40,40,40,40,40,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
03:09:2024,12:00:00,247,0.021803,0.040577,0.050188,-999.,-999.,0.072857,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.117576,-999.,-999.,0.138821,-999.,-999.,0.169281,0.188312,2.288195,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.509928,1.324795,1.521686,1.536908,1.193055,-999.,10,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,10,10,10,10,10,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
04:09:2024,12:00:00,248,0.022624,0.042642,0.055075,-999.,-999.,0.079153,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.126725,-999.,-999.,0.147416,-999.,-999.,0.176807,0.189353,2.637671,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.467953,1.213981,1.477950,1.504943,0.987040,-999.,16,16,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,16,16,16,16,16,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
05:09:2024,12:00:00,249,0.023102,0.039812,0.047336,-999.,-999.,0.067307,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.109602,-999.,-999.,0.130171,-999.,-999.,0.155952,0.169848,2.399221,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.501518,1.280689,1.554965,1.512983,1.043617,-999.,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
06:09:2024,12:00:00,250,0.011277,0.018082,0.022445,-999.,-999.,0.029872,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.048118,-999.,-999.,0.056902,-999.,-999.,0.069651,0.074874,1.917335,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.490430,1.346530,1.596465,1.493061,1.058564,-999.,56,56,56,0,0,56,0,0,0,0,0,0,0,0,56,0,0,56,0,0,56,56,56,0,0,0,0,0,0,0,56,56,56,56,56,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
07:09:2024,12:00:00,251,0.011467,0.018383,0.022247,-999.,-999.,0.028214,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.043669,-999.,-999.,0.051493,-999.,-999.,0.062905,0.067791,1.683148,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.354685,1.369411,1.520521,1.323557,1.088078,-999.,88,88,88,0,0,88,0,0,0,0,0,0,0,0,88,0,0,88,0,0,87,87,88,0,0,0,0,0,0,0,88,88,88,88,87,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
10:09:2024,12:00:00,254,0.022199,0.041473,0.052340,-999.,-999.,0.076993,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.122904,-999.,-999.,0.145033,-999.,-999.,0.170539,0.187054,1.652908,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.517586,1.189531,1.499499,1.551450,0.998372,-999.,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
13:09:2024,12:00:00,257,0.025205,0.038037,0.044165,-999.,-999.,0.063201,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.094288,-999.,-999.,0.109962,-999.,-999.,0.134178,0.155450,0.993422,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.372139,1.296307,1.322681,1.401940,1.355211,-999.,8,8,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8,8,8,0,0,0,0,0,0,0,8,8,8,8,8,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
15:09:2024,12:00:00,259,0.016215,0.039212,0.052619,-999.,-999.,0.082304,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.126365,-999.,-999.,0.145545,-999.,-999.,0.165357,0.175536,0.681377,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.506858,1.092961,1.392019,1.572754,0.867277,-999.,117,117,117,0,0,117,0,0,0,0,0,0,0,0,117,0,0,117,0,0,117,117,117,0,0,0,0,0,0,0,117,117,117,117,117,0,lev15,1353,Laegeren,47.478349,8.364352,763.000000
